nutrient_name,min_value,max_value,unit,enabled
n-3系脂肪酸,2.0,,g,TRUE
n-6系脂肪酸,11.0,,g,TRUE
たんぱく質,80.88,124.43,g,TRUE
エネルギー,2240,2737,kcal,TRUE
カリウム,3000.0,,mg,TRUE
カルシウム,650.0,2500.0,mg,TRUE
クロム,10.0,500.0,μg,TRUE
セレン,25.0,400.0,μg,TRUE
ナイアシン,14.43,,mg,TRUE
パントテン酸,4.73,,mg,TRUE
ビオチン,50.0,,μg,TRUE
ビタミンA,700.0,2700.0,μgRAE,TRUE
ビタミンB₁,1.34,,mg,TRUE
ビタミンB₁₂,2.4,,μg,TRUE
ビタミンB₂,1.54,,mg,TRUE
ビタミンB₆,1.2,55.0,mg,TRUE
ビタミンC,85.0,,,TRUE
ビタミンD,8.5,100.0,μg,TRUE
ビタミンE,6.0,800.0,mg,TRUE
ビタミンK,150.0,,μg,TRUE
マグネシウム,280.0,,mg,TRUE
マンガン,3.5,11.0,mg,TRUE
モリブデン,25.0,600.0,μg,TRUE
ヨウ素,100.0,3000.0,μg,TRUE
リン,1000.0,3000.0,mg,TRUE
亜鉛,9.0,40.0,mg,TRUE
炭水化物,311.06,404.38,g,TRUE
脂質,55.3,82.95,g,TRUE
葉酸,200.0,,μg,TRUE
鉄,6.0,55.0,mg,TRUE
銅,0.7,7.0,mg,TRUE
食塩相当量,1.5,7.5,g,TRUE
食物繊維,21.0,,g,TRUE
飽和脂肪酸,,19.36,g,TRUE
