名前,エネルギー,ビタミンA,ビタミンC,ビタミンD,ビタミンE,ビタミンK,ナイアシン,パントテン酸,ビオチン,ビタミンB₁,ビタミンB₁₂,ビタミンB₂,ビタミンB₆,葉酸,カリウム,カルシウム,クロム,セレン,マグネシウム,マンガン,モリブデン,ヨウ素,リン,亜鉛,鉄,銅,食塩相当量,たんぱく質,炭水化物,脂質,n-3系脂肪酸,n-6系脂肪酸,飽和脂肪酸,食物繊維
アマランサス　玄穀,343,Tr,(0),(0),1.3,(0),(3.8),1.69,16.0,0.04,(0),0.14,0.58,130,600,160,7,13,270,6.14,59,1,540,5.8,9.4,0.92,0,(11.3),63.5,6.0,0.04,2.06,1.18,7.4
あわ　精白粒,346,(0),0,(0),0.6,(0),6.4,1.83,14.0,0.56,(0),0.07,0.18,29,300,14,1,2,110,0.88,22,0,280,2.5,4.8,0.49,0,10.2,69.6,4.4,0.12,2.63,0.67,3.3
あわ　あわもち,210,0,0,0,0.1,0,(1.7),0.61,3.4,0.08,0,0.01,0.03,7,62,5,0,1,12,0.46,40,0,39,1.1,0.7,0.20,0,(4.5),(44.5),1.3,(0.03),(0.70),(0.22),1.5
えんばく　オートミール,350,(0),(0),(0),0.6,(0),4.5,1.29,22.0,0.20,(0),0.08,0.11,30,260,47,0,18,100,-,110,0,370,2.1,3.9,0.28,0,12.2,63.1,5.7,(0.09),(2.00),(1.01),9.4
おおむぎ　七分つき押麦,343,(0),(0),(0),0.2,(0),(5.8),0.43,-,0.22,(0),0.07,0.14,17,220,23,-,-,46,0.85,-,-,180,1.4,1.3,0.32,0,(9.7),(71.3),2.1,0.05,0.86,0.58,10.3
おおむぎ　押麦　乾,329,(0),(0),(0),0.1,(0),5.0,0.40,2.7,0.11,(0),0.03,0.13,10,210,21,0,1,40,0.86,11,0,160,1.1,1.1,0.22,0,5.9,72.4,1.5,0.03,0.59,0.43,12.2
おおむぎ　押麦　めし,118,(0),(0),(0),Tr,(0),1.3,0.13,0.8,0.02,(0),Tr,0.03,3,38,6,(0),Tr,10,0.24,3,(0),46,0.4,0.4,0.08,0,2.0,24.2,0.5,0.01,0.19,0.14,4.2
おおむぎ　米粒麦,333,(0),(0),(0),0.1,(0),(4.0),0.64,3.5,0.19,(0),0.05,0.19,10,170,17,Tr,1,25,-,9,Tr,140,1.2,1.2,0.37,0,(6.2),68.8,2.1,(0.05),(0.86),(0.58),8.7
おおむぎ　大麦めん　乾,343,(0),(0),(0),Tr,(0),(6.3),0.64,-,0.21,(0),0.04,0.09,19,240,27,-,-,63,0.90,-,-,200,1.5,2.1,0.33,2.8,(11.7),(72.2),1.7,(0.04),(0.74),(0.43),6.3
おおむぎ　大麦めん　ゆで,121,(0),(0),(0),Tr,(0),(2.0),0.26,-,0.04,(0),0.01,0.01,5,10,12,-,-,18,0.27,-,-,61,0.6,0.9,0.13,0.2,(4.4),(25.2),0.6,(0.01),(0.26),(0.15),2.5
おおむぎ　麦こがし,368,(0),(0),(0),0.5,(0),(11.0),0.28,-,0.09,(0),0.10,0.09,24,490,43,-,-,130,1.81,-,-,340,3.8,3.1,0.41,0,(11.1),(80.1),5.0,(0.13),(2.04),(1.39),15.5
キヌア　玄穀,344,1,0,(0),2.6,Tr,4.0,0.95,23.0,0.45,Tr,0.24,0.39,190,580,46,3,3,180,2.45,23,2,410,2.8,4.3,0.47,0.1,9.7,60.7,3.2,0.19,1.34,0.33,6.2
