nutrient_id,nutrient_name,category,min_value,max_value,unit,enabled
energy_kcal,エネルギー,エネルギー,2053,2509,kcal,TRUE
retinol_activity_equiv,ビタミンA,ビタミン,700.0,2700.0,μgRAE,TRUE
vitamin_c,ビタミンC,ビタミン,85.0,,,TRUE
vitamin_d,ビタミンD,ビタミン,8.5,100.0,μg,TRUE
alpha_tocopherol,ビタミンE,ビタミン,6.0,800.0,mg,TRUE
vitamin_k,ビタミンK,ビタミン,150.0,,μg,TRUE
niacin,ナイアシン,ビタミンB群,13.23,,mg,TRUE
pantothenic_acid,パントテン酸,ビタミンB群,4.33,,mg,TRUE
biotin,ビオチン,ビタミンB群,50.0,,μg,TRUE
thiamin,ビタミンB₁,ビタミンB群,1.23,,mg,TRUE
vitamin_b12,ビタミンB₁₂,ビタミンB群,2.4,,μg,TRUE
riboflavin,ビタミンB₂,ビタミンB群,1.41,,mg,TRUE
vitamin_b6,ビタミンB₆,ビタミンB群,1.2,55.0,mg,TRUE
folate,葉酸,ビタミンB群,200.0,,μg,TRUE
potassium,カリウム,ミネラル,3000.0,,mg,TRUE
calcium,カルシウム,ミネラル,650.0,2500.0,mg,TRUE
chromium,クロム,ミネラル,10.0,500.0,μg,TRUE
selenium,セレン,ミネラル,25.0,400.0,μg,TRUE
magnesium,マグネシウム,ミネラル,280.0,,mg,TRUE
manganese,マンガン,ミネラル,3.5,11.0,mg,TRUE
molybdenum,モリブデン,ミネラル,25.0,600.0,μg,TRUE
iodine,ヨウ素,ミネラル,100.0,3000.0,μg,TRUE
phosphorus,リン,ミネラル,1000.0,3000.0,mg,TRUE
zinc,亜鉛,ミネラル,9.0,40.0,mg,TRUE
iron,鉄,ミネラル,6.0,55.0,mg,TRUE
copper,銅,ミネラル,0.7,7.0,mg,TRUE
salt_equiv,食塩相当量,ミネラル,1.5,7.5,g,FALSE
protein,たんぱく質,主要栄養素,74.14,114.06,g,TRUE
carb_available,炭水化物,主要栄養素,285.14,370.68,g,TRUE
fat,脂質,主要栄養素,50.69,76.04,g,TRUE
n3_fatty_acid,n-3系脂肪酸,脂肪酸,2.0,,g,TRUE
n6_fatty_acid,n-6系脂肪酸,脂肪酸,11.0,,g,TRUE
saturated_fat,飽和脂肪酸,脂質,,17.74,g,TRUE
fiber_total,食物繊維,食物繊維,21.0,,g,TRUE
