nutrient_id,lower,upper,unit
energy,2410.367892976589,3000,kcal/d
protein,50.1875,,g/d
saturated_fatty_acids,,18.74730583426236,g/d
n6_fatty_acids,10.712746191007062,,g/d
n3_fatty_acids,1.6069119286510594,,g/d
carbohydrate,,,g/d
fiber,20.0,,g/d
vitamin_a,850.0,,µgRAE/d
vitamin_d,9.0,,µg/d
vitamin_e,6.5,,mg/d
vitamin_k,,,µg/d
vitamin_b1,1.1,,mg/d
vitamin_b2,1.6,,mg/d
niacin,15.0,,mgNE/d
vitamin_b6,1.5,,mg/d
vitamin_b12,4.0,,µg/d
folate,240.0,,µg/d
pantothenic_acid,6.0,,mg/d
biotin,50.0,,µg/d
vitamin_c,100.0,,mg/d
salt_equivalent,,,g/d
potassium,,,mg/d
calcium,800,,mg/d
magnesium,340.0,,mg/d
phosphorus,1000.0,,mg/d
iron,7.0,,mg/d
zinc,9.0,,mg/d
copper,0.8,,mg/d
manganese,3.5,,mg/d
iodine,,,µg/d
selenium,30.0,,µg/d
chromium,10.0,,µg/d
molybdenum,30.0,,µg/d
