nutrient_id,lower,upper,unit
energy,2336.219541328237,,kcal/d
protein,67.52499999999999,,g/d
saturated_fatty_acids,,18.170596432552955,g/d
n6_fatty_acids,10.383197961458832,,g/d
n3_fatty_acids,1.5574796942188247,,g/d
carbohydrate,,,g/d
fiber,22.0,,g/d
vitamin_a,900.0,2700.0,µgRAE/d
vitamin_d,9.0,100.0,µg/d
vitamin_e,6.5,800.0,mg/d
vitamin_k,150.0,,µg/d
vitamin_b1,1.1,,mg/d
vitamin_b2,1.6,,mg/d
niacin,15.0,,mgNE/d
vitamin_b6,1.5,60.0,mg/d
vitamin_b12,4.0,,µg/d
folate,240.0,1000.0,µg/d
pantothenic_acid,6.0,,mg/d
biotin,50.0,,µg/d
vitamin_c,100.0,,mg/d
salt_equivalent,1.5,7.5,g/d
potassium,2500.0,,mg/d
calcium,750.0,2500.0,mg/d
magnesium,370.0,,mg/d
phosphorus,1000.0,3000.0,mg/d
iron,7.0,,mg/d
zinc,9.5,45.0,mg/d
copper,0.9,7.0,mg/d
manganese,3.5,11.0,mg/d
iodine,140.0,3000.0,µg/d
selenium,30.0,450.0,µg/d
chromium,10.0,500.0,µg/d
molybdenum,30.0,600.0,µg/d
