food_name,cost,amount,min,max,unit,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum
こむぎ　［小麦粉］　中力粉　2等,16.0,100.0,450.0,450.0,g,346.0,8.9,0.41,0.86,0.05,73.1,2.1,0.0,0.0,0.8,0.0,0.22,0.04,1.2,0.07,0.0,12.0,0.66,2.6,0.0,0.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,0.77,0.0,7.0,2.0,10.0
＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,70.0,100.0,,,g,229.0,15.5,5.19,2.26,0.11,0.0,0.0,72.0,0.1,0.2,50.0,0.05,0.08,7.9,0.35,0.3,5.0,0.97,0.0,1.0,0.1,190.0,4.0,20.0,120.0,0.3,0.7,0.05,0.01,0.0,0.0,0.0,0.0
＜魚類＞　（さば類）　まさば　水煮,100.0,100.0,,,g,253.0,19.6,6.12,0.6,3.04,0.3,0.0,31.0,4.3,2.0,0.0,0.25,0.3,11.0,0.48,19.0,13.0,0.75,8.5,0.0,0.2,280.0,7.0,29.0,210.0,1.3,1.1,0.14,0.01,23.0,66.0,6.0,0.0
NATUREMADE(ネイチャーメイド) 大塚製薬スーパーマルチビタミン&ミネラル 120粒 120日分,20.0,1.0,1.0,1.0,個,3.36,0.0,0.0,0.0,0.0,0.656,0.0,375.0,10.0,9.0,0.0,1.5,1.7,15.0,2.0,3.0,408.0,6.0,50.0,125.0,0.0,0.0,200.0,100.0,0.0,4.0,6.0,0.6,0.0,0.0,50.0,20.0,0.0
だいず　［その他］　おから　乾燥,30.0,100.0,30.0,30.0,g,333.0,20.2,1.94,6.62,1.07,2.2,43.6,0.0,0.0,1.5,30.0,0.42,0.11,0.8,0.23,0.0,53.0,1.18,16.0,0.0,0.0,1300.0,310.0,150.0,380.0,4.9,2.3,0.53,1.52,4.0,4.0,4.0,170.0
鶏卵　全卵　生,40.0,100.0,,120.0,g,142.0,11.3,3.12,1.32,0.11,0.3,0.0,210.0,3.8,1.3,12.0,0.06,0.37,0.1,0.09,1.1,49.0,1.16,24.0,0.0,0.4,130.0,46.0,10.0,170.0,1.5,1.1,0.05,0.02,33.0,24.0,0.0,4.0
＜牛乳及び乳製品＞　（液状乳類）　加工乳　低脂肪,11.0,100.0,,600.0,g,42.0,3.4,0.67,0.03,0.0,5.1,0.0,13.0,0.0,0.0,0.0,0.04,0.18,0.1,0.04,0.4,0.0,0.52,2.0,0.0,0.2,190.0,130.0,14.0,90.0,0.1,0.4,0.01,0.01,19.0,3.0,0.0,4.0
（にんじん類）　にんじん　根　皮つき　生,55.0,100.0,,,g,35.0,0.5,0.02,0.05,0.01,5.9,2.8,720.0,0.0,0.4,17.0,0.07,0.06,0.8,0.1,0.0,21.0,0.37,0.0,6.0,0.1,300.0,28.0,10.0,26.0,0.2,0.2,0.05,0.12,0.0,0.0,0.0,0.0
だいず　［納豆類］　糸引き納豆,80.0,100.0,,50.0,g,184.0,14.5,1.45,4.98,0.67,0.3,9.5,0.0,0.0,0.5,870.0,0.13,0.3,0.6,0.24,0.0,130.0,3.63,18.2,3.0,0.0,690.0,91.0,100.0,220.0,3.3,1.9,0.6,1.39,0.0,16.0,1.0,290.0
わかめ　乾燥わかめ　素干し,900.0,100.0,,1.0,g,172.0,11.2,0.16,0.26,0.58,0.0,29.8,370.0,0.0,1.2,890.0,0.36,1.01,9.1,0.11,0.2,320.0,0.47,23.3,19.0,16.2,6000.0,830.0,1000.0,350.0,5.8,1.0,0.06,0.38,10000.0,6.0,5.0,20.0
（植物油脂類）　なたね油,40.0,100.0,30.0,30.0,g,887.0,0.0,7.06,18.59,7.52,0.0,0.0,0.0,0.0,15.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
塩,15.0,100.0,5,5,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
