nutrient_id,sex_code,life_code,age_band_id,ref_code,value
# --- ビタミンA (vitamin_a) ---
vitamin_a,M,general,1,AI,300
vitamin_a,M,general,1,UL,600
vitamin_a,M,general,2,AI,400
vitamin_a,M,general,2,UL,600
vitamin_a,M,general,3,EAR,300
vitamin_a,M,general,3,RDA,400
vitamin_a,M,general,3,UL,600
vitamin_a,M,general,4,EAR,350
vitamin_a,M,general,4,RDA,500
vitamin_a,M,general,4,UL,700
vitamin_a,M,general,5,EAR,350
vitamin_a,M,general,5,RDA,500
vitamin_a,M,general,5,UL,950
vitamin_a,M,general,6,EAR,350
vitamin_a,M,general,6,RDA,500
vitamin_a,M,general,6,UL,1200
vitamin_a,M,general,7,EAR,450
vitamin_a,M,general,7,RDA,600
vitamin_a,M,general,7,UL,1500
vitamin_a,M,general,8,EAR,550
vitamin_a,M,general,8,RDA,800
vitamin_a,M,general,8,UL,2100
vitamin_a,M,general,9,EAR,650
vitamin_a,M,general,9,RDA,900
vitamin_a,M,general,9,UL,2600
vitamin_a,M,general,10,EAR,600
vitamin_a,M,general,10,RDA,850
vitamin_a,M,general,10,UL,2700
vitamin_a,M,general,11,EAR,650
vitamin_a,M,general,11,RDA,900
vitamin_a,M,general,11,UL,2700
vitamin_a,M,general,12,EAR,650
vitamin_a,M,general,12,RDA,900
vitamin_a,M,general,12,UL,2700
vitamin_a,M,general,13,EAR,600
vitamin_a,M,general,13,RDA,850
vitamin_a,M,general,13,UL,2700
vitamin_a,M,general,14,EAR,550
vitamin_a,M,general,14,RDA,800
vitamin_a,M,general,14,UL,2700
vitamin_a,F,general,1,AI,300
vitamin_a,F,general,1,UL,600
vitamin_a,F,general,2,AI,400
vitamin_a,F,general,2,UL,600
vitamin_a,F,general,3,EAR,250
vitamin_a,F,general,3,RDA,350
vitamin_a,F,general,3,UL,600
vitamin_a,F,general,4,EAR,350
vitamin_a,F,general,4,RDA,500
vitamin_a,F,general,4,UL,700
vitamin_a,F,general,5,EAR,350
vitamin_a,F,general,5,RDA,500
vitamin_a,F,general,5,UL,950
vitamin_a,F,general,6,EAR,350
vitamin_a,F,general,6,RDA,500
vitamin_a,F,general,6,UL,1200
vitamin_a,F,general,7,EAR,400
vitamin_a,F,general,7,RDA,600
vitamin_a,F,general,7,UL,1500
vitamin_a,F,general,8,EAR,500
vitamin_a,F,general,8,RDA,700
vitamin_a,F,general,8,UL,2100
vitamin_a,F,general,9,EAR,500
vitamin_a,F,general,9,RDA,650
vitamin_a,F,general,9,UL,2600
vitamin_a,F,general,10,EAR,450
vitamin_a,F,general,10,RDA,650
vitamin_a,F,general,10,UL,2700
vitamin_a,F,general,11,EAR,500
vitamin_a,F,general,11,RDA,700
vitamin_a,F,general,11,UL,2700
vitamin_a,F,general,12,EAR,500
vitamin_a,F,general,12,RDA,700
vitamin_a,F,general,12,UL,2700
vitamin_a,F,general,13,EAR,500
vitamin_a,F,general,13,RDA,700
vitamin_a,F,general,13,UL,2700
vitamin_a,F,general,14,EAR,450
vitamin_a,F,general,14,RDA,650
vitamin_a,F,general,14,UL,2700
vitamin_a,F,pregnant_late,10,EAR,510
vitamin_a,F,pregnant_late,10,RDA,730
vitamin_a,F,pregnant_late,11,EAR,560
vitamin_a,F,pregnant_late,11,RDA,780
vitamin_a,F,pregnant_late,12,EAR,560
vitamin_a,F,pregnant_late,12,RDA,780
vitamin_a,F,pregnant_late,13,EAR,560
vitamin_a,F,pregnant_late,13,RDA,780
vitamin_a,F,pregnant_late,14,EAR,510
vitamin_a,F,pregnant_late,14,RDA,730
vitamin_a,F,lactating,10,EAR,750
vitamin_a,F,lactating,10,RDA,1100
vitamin_a,F,lactating,11,EAR,800
vitamin_a,F,lactating,11,RDA,1150
vitamin_a,F,lactating,12,EAR,800
vitamin_a,F,lactating,12,RDA,1150
vitamin_a,F,lactating,13,EAR,800
vitamin_a,F,lactating,13,RDA,1150
vitamin_a,F,lactating,14,EAR,750
vitamin_a,F,lactating,14,RDA,1100
# --- ビタミンD (vitamin_d) ---
vitamin_d,M,general,1,AI,5.0
vitamin_d,M,general,1,UL,25
vitamin_d,M,general,2,AI,5.0
vitamin_d,M,general,2,UL,25
vitamin_d,M,general,3,AI,3.5
vitamin_d,M,general,3,UL,25
vitamin_d,M,general,4,AI,4.5
vitamin_d,M,general,4,UL,30
vitamin_d,M,general,5,AI,5.5
vitamin_d,M,general,5,UL,40
vitamin_d,M,general,6,AI,6.5
vitamin_d,M,general,6,UL,40
vitamin_d,M,general,7,AI,8.0
vitamin_d,M,general,7,UL,60
vitamin_d,M,general,8,AI,9.0
vitamin_d,M,general,8,UL,80
vitamin_d,M,general,9,AI,9.0
vitamin_d,M,general,9,UL,90
vitamin_d,M,general,10,AI,9.0
vitamin_d,M,general,10,UL,100
vitamin_d,M,general,11,AI,9.0
vitamin_d,M,general,11,UL,100
vitamin_d,M,general,12,AI,9.0
vitamin_d,M,general,12,UL,100
vitamin_d,M,general,13,AI,9.0
vitamin_d,M,general,13,UL,100
vitamin_d,M,general,14,AI,9.0
vitamin_d,M,general,14,UL,100
vitamin_d,F,general,1,AI,5.0
vitamin_d,F,general,1,UL,25
vitamin_d,F,general,2,AI,5.0
vitamin_d,F,general,2,UL,25
vitamin_d,F,general,3,AI,3.5
vitamin_d,F,general,3,UL,25
vitamin_d,F,general,4,AI,4.5
vitamin_d,F,general,4,UL,30
vitamin_d,F,general,5,AI,5.5
vitamin_d,F,general,5,UL,40
vitamin_d,F,general,6,AI,6.5
vitamin_d,F,general,6,UL,40
vitamin_d,F,general,7,AI,8.0
vitamin_d,F,general,7,UL,60
vitamin_d,F,general,8,AI,9.0
vitamin_d,F,general,8,UL,80
vitamin_d,F,general,9,AI,9.0
vitamin_d,F,general,9,UL,90
vitamin_d,F,general,10,AI,9.0
vitamin_d,F,general,10,UL,100
vitamin_d,F,general,11,AI,9.0
vitamin_d,F,general,11,UL,100
vitamin_d,F,general,12,AI,9.0
vitamin_d,F,general,12,UL,100
vitamin_d,F,general,13,AI,9.0
vitamin_d,F,general,13,UL,100
vitamin_d,F,general,14,AI,9.0
vitamin_d,F,general,14,UL,100
vitamin_d,F,pregnant,10,AI,9.0
vitamin_d,F,pregnant,11,AI,9.0
vitamin_d,F,pregnant,12,AI,9.0
vitamin_d,F,pregnant,13,AI,9.0
vitamin_d,F,pregnant,14,AI,9.0
vitamin_d,F,lactating,10,AI,9.0
vitamin_d,F,lactating,11,AI,9.0
vitamin_d,F,lactating,12,AI,9.0
vitamin_d,F,lactating,13,AI,9.0
vitamin_d,F,lactating,14,AI,9.0
# --- ビタミンE (vitamin_e) ---
vitamin_e,M,general,1,AI,3.0
vitamin_e,M,general,2,AI,4.0
vitamin_e,M,general,3,AI,3.0
vitamin_e,M,general,3,UL,150
vitamin_e,M,general,4,AI,4.0
vitamin_e,M,general,4,UL,200
vitamin_e,M,general,5,AI,4.5
vitamin_e,M,general,5,UL,300
vitamin_e,M,general,6,AI,5.0
vitamin_e,M,general,6,UL,350
vitamin_e,M,general,7,AI,5.0
vitamin_e,M,general,7,UL,450
vitamin_e,M,general,8,AI,6.5
vitamin_e,M,general,8,UL,650
vitamin_e,M,general,9,AI,7.0
vitamin_e,M,general,9,UL,750
vitamin_e,M,general,10,AI,6.5
vitamin_e,M,general,10,UL,800
vitamin_e,M,general,11,AI,6.5
vitamin_e,M,general,11,UL,800
vitamin_e,M,general,12,AI,6.5
vitamin_e,M,general,12,UL,800
vitamin_e,M,general,13,AI,7.5
vitamin_e,M,general,13,UL,800
vitamin_e,M,general,14,AI,7.0
vitamin_e,M,general,14,UL,800
vitamin_e,F,general,1,AI,3.0
vitamin_e,F,general,2,AI,4.0
vitamin_e,F,general,3,AI,3.0
vitamin_e,F,general,3,UL,150
vitamin_e,F,general,4,AI,4.0
vitamin_e,F,general,4,UL,200
vitamin_e,F,general,5,AI,4.0
vitamin_e,F,general,5,UL,300
vitamin_e,F,general,6,AI,5.0
vitamin_e,F,general,6,UL,350
vitamin_e,F,general,7,AI,5.5
vitamin_e,F,general,7,UL,450
vitamin_e,F,general,8,AI,6.0
vitamin_e,F,general,8,UL,600
vitamin_e,F,general,9,AI,6.0
vitamin_e,F,general,9,UL,650
vitamin_e,F,general,10,AI,5.0
vitamin_e,F,general,10,UL,650
vitamin_e,F,general,11,AI,6.0
vitamin_e,F,general,11,UL,700
vitamin_e,F,general,12,AI,6.0
vitamin_e,F,general,12,UL,700
vitamin_e,F,general,13,AI,7.0
vitamin_e,F,general,13,UL,700
vitamin_e,F,general,14,AI,6.0
vitamin_e,F,general,14,UL,650
vitamin_e,F,pregnant,10,AI,5.5
vitamin_e,F,pregnant,11,AI,5.5
vitamin_e,F,pregnant,12,AI,5.5
vitamin_e,F,pregnant,13,AI,5.5
vitamin_e,F,pregnant,14,AI,5.5
vitamin_e,F,lactating,10,AI,5.5
vitamin_e,F,lactating,11,AI,5.5
vitamin_e,F,lactating,12,AI,5.5
vitamin_e,F,lactating,13,AI,5.5
vitamin_e,F,lactating,14,AI,5.5
# --- ビタミンK (vitamin_k) ---
vitamin_k,M,general,1,AI,4
vitamin_k,M,general,2,AI,7
vitamin_k,M,general,3,AI,50
vitamin_k,M,general,4,AI,60
vitamin_k,M,general,5,AI,80
vitamin_k,M,general,6,AI,90
vitamin_k,M,general,7,AI,110
vitamin_k,M,general,8,AI,140
vitamin_k,M,general,9,AI,150
vitamin_k,M,general,10,AI,150
vitamin_k,M,general,11,AI,150
vitamin_k,M,general,12,AI,150
vitamin_k,M,general,13,AI,150
vitamin_k,M,general,14,AI,150
vitamin_k,F,general,1,AI,4
vitamin_k,F,general,2,AI,7
vitamin_k,F,general,3,AI,60
vitamin_k,F,general,4,AI,70
vitamin_k,F,general,5,AI,90
vitamin_k,F,general,6,AI,110
vitamin_k,F,general,7,AI,130
vitamin_k,F,general,8,AI,150
vitamin_k,F,general,9,AI,150
vitamin_k,F,general,10,AI,150
vitamin_k,F,general,11,AI,150
vitamin_k,F,general,12,AI,150
vitamin_k,F,general,13,AI,150
vitamin_k,F,general,14,AI,150
vitamin_k,F,pregnant,10,AI,150
vitamin_k,F,pregnant,11,AI,150
vitamin_k,F,pregnant,12,AI,150
vitamin_k,F,pregnant,13,AI,150
vitamin_k,F,pregnant,14,AI,150
vitamin_k,F,lactating,10,AI,150
vitamin_k,F,lactating,11,AI,150
