nutrient_id,sex_code,life_code,age_band_id,ref_code,value
# --- 食塩相当量(salt_equivalent) ---
salt_equivalent,M,general,1,AI,0.3
salt_equivalent,M,general,2,AI,1.5
salt_equivalent,M,general,3,DG_UPPER,3.0
salt_equivalent,M,general,4,DG_UPPER,3.5
salt_equivalent,M,general,5,DG_UPPER,4.5
salt_equivalent,M,general,6,DG_UPPER,5.0
salt_equivalent,M,general,7,DG_UPPER,6.0
salt_equivalent,M,general,8,DG_UPPER,7.0
salt_equivalent,M,general,9,DG_UPPER,7.5
salt_equivalent,M,general,10,EAR,1.5
salt_equivalent,M,general,10,DG_UPPER,7.5
salt_equivalent,M,general,11,EAR,1.5
salt_equivalent,M,general,11,DG_UPPER,7.5
salt_equivalent,M,general,12,EAR,1.5
salt_equivalent,M,general,12,DG_UPPER,7.5
salt_equivalent,M,general,13,EAR,1.5
salt_equivalent,M,general,13,DG_UPPER,7.5
salt_equivalent,M,general,14,EAR,1.5
salt_equivalent,M,general,14,DG_UPPER,7.5
salt_equivalent,F,general,1,AI,0.3
salt_equivalent,F,general,2,AI,1.5
salt_equivalent,F,general,3,DG_UPPER,2.5
salt_equivalent,F,general,4,DG_UPPER,3.5
salt_equivalent,F,general,5,DG_UPPER,4.5
salt_equivalent,F,general,6,DG_UPPER,5.0
salt_equivalent,F,general,7,DG_UPPER,6.0
salt_equivalent,F,general,8,DG_UPPER,6.5
salt_equivalent,F,general,9,DG_UPPER,6.5
salt_equivalent,F,general,10,EAR,1.5
salt_equivalent,F,general,10,DG_UPPER,6.5
salt_equivalent,F,general,11,EAR,1.5
salt_equivalent,F,general,11,DG_UPPER,6.5
salt_equivalent,F,general,12,EAR,1.5
salt_equivalent,F,general,12,DG_UPPER,6.5
salt_equivalent,F,general,13,EAR,1.5
salt_equivalent,F,general,13,DG_UPPER,6.5
salt_equivalent,F,general,14,EAR,1.5
salt_equivalent,F,general,14,DG_UPPER,6.5
salt_equivalent,F,pregnant,10,EAR,1.5
salt_equivalent,F,pregnant,10,DG_UPPER,6.5
salt_equivalent,F,lactating,10,EAR,1.5
salt_equivalent,F,lactating,10,DG_UPPER,6.5
# --- カリウム (potassium) ---
potassium,M,general,1,AI,400
potassium,M,general,2,AI,700
potassium,M,general,3,AI,900
potassium,M,general,4,AI,1100
potassium,M,general,4,DG_LOWER,1600
potassium,M,general,5,AI,1300
potassium,M,general,5,DG_LOWER,1800
potassium,M,general,6,AI,1600
potassium,M,general,6,DG_LOWER,2000
potassium,M,general,7,AI,1900
potassium,M,general,7,DG_LOWER,2200
potassium,M,general,8,AI,2400
potassium,M,general,8,DG_LOWER,2600
potassium,M,general,9,AI,2800
potassium,M,general,9,DG_LOWER,3000
potassium,M,general,10,AI,2500
potassium,M,general,10,DG_LOWER,3000
potassium,M,general,11,AI,2500
potassium,M,general,11,DG_LOWER,3000
potassium,M,general,12,AI,2500
potassium,M,general,12,DG_LOWER,3000
potassium,M,general,13,AI,2500
potassium,M,general,13,DG_LOWER,3000
potassium,M,general,14,AI,2500
potassium,M,general,14,DG_LOWER,3000
potassium,F,general,1,AI,400
potassium,F,general,2,AI,700
potassium,F,general,3,AI,800
potassium,F,general,4,AI,1000
potassium,F,general,4,DG_LOWER,1400
potassium,F,general,5,AI,1200
potassium,F,general,5,DG_LOWER,1600
potassium,F,general,6,AI,1400
potassium,F,general,6,DG_LOWER,1800
potassium,F,general,7,AI,1800
potassium,F,general,7,DG_LOWER,2000
potassium,F,general,8,AI,2200
potassium,F,general,8,DG_LOWER,2400
potassium,F,general,9,AI,2000
potassium,F,general,9,DG_LOWER,2600
potassium,F,general,10,AI,2000
potassium,F,general,10,DG_LOWER,2600
potassium,F,general,11,AI,2000
potassium,F,general,11,DG_LOWER,2600
potassium,F,general,12,AI,2000
potassium,F,general,12,DG_LOWER,2600
potassium,F,general,13,AI,2000
potassium,F,general,13,DG_LOWER,2600
potassium,F,general,14,AI,2000
potassium,F,general,14,DG_LOWER,2600
potassium,F,pregnant,10,AI,2000
potassium,F,pregnant,10,DG_LOWER,2600
potassium,F,lactating,10,AI,2000
potassium,F,lactating,10,DG_LOWER,2600
# --- カルシウム (calcium) ---
calcium,M,general,1,AI,200
calcium,M,general,2,AI,250
calcium,M,general,3,EAR,350
calcium,M,general,3,RDA,450
calcium,M,general,4,EAR,500
calcium,M,general,4,RDA,600
calcium,M,general,5,EAR,500
calcium,M,general,5,RDA,600
calcium,M,general,6,EAR,550
calcium,M,general,6,RDA,650
calcium,M,general,7,EAR,600
calcium,M,general,7,RDA,700
calcium,M,general,8,EAR,850
calcium,M,general,8,RDA,1000
calcium,M,general,9,EAR,650
calcium,M,general,9,RDA,800
calcium,M,general,10,EAR,650
calcium,M,general,10,RDA,800
calcium,M,general,10,UL,2500
calcium,M,general,11,EAR,650
calcium,M,general,11,RDA,750
calcium,M,general,11,UL,2500
calcium,M,general,12,EAR,600
calcium,M,general,12,RDA,750
calcium,M,general,12,UL,2500
calcium,M,general,13,EAR,600
calcium,M,general,13,RDA,750
calcium,M,general,13,UL,2500
calcium,M,general,14,EAR,600
calcium,M,general,14,RDA,750
calcium,M,general,14,UL,2500
calcium,F,general,1,AI,200
calcium,F,general,2,AI,250
calcium,F,general,3,EAR,350
calcium,F,general,3,RDA,400
calcium,F,general,4,EAR,450
calcium,F,general,4,RDA,550
calcium,F,general,5,EAR,450
calcium,F,general,5,RDA,550
calcium,F,general,6,EAR,600
calcium,F,general,6,RDA,750
calcium,F,general,7,EAR,600
calcium,F,general,7,RDA,750
calcium,F,general,8,EAR,700
calcium,F,general,8,RDA,800
calcium,F,general,9,EAR,550
calcium,F,general,9,RDA,650
calcium,F,general,10,EAR,550
calcium,F,general,10,RDA,650
calcium,F,general,10,UL,2500
calcium,F,general,11,EAR,550
calcium,F,general,11,RDA,650
calcium,F,general,11,UL,2500
calcium,F,general,12,EAR,550
calcium,F,general,12,RDA,650
calcium,F,general,12,UL,2500
calcium,F,general,13,EAR,550
calcium,F,general,13,RDA,650
calcium,F,general,13,UL,2500
calcium,F,general,14,EAR,500
calcium,F,general,14,RDA,600
calcium,F,general,14,UL,2500
# --- マグネシウム (magnesium) ---
magnesium,M,general,1,AI,20
magnesium,M,general,2,AI,60
magnesium,M,general,3,EAR,60
magnesium,M,general,3,RDA,70
magnesium,M,general,4,EAR,80
magnesium,M,general,4,RDA,100
magnesium,M,general,5,EAR,110
magnesium,M,general,5,RDA,130
magnesium,M,general,6,EAR,140
magnesium,M,general,6,RDA,170
magnesium,M,general,7,EAR,180
magnesium,M,general,7,RDA,210
magnesium,M,general,8,EAR,250
magnesium,M,general,8,RDA,290
magnesium,M,general,9,EAR,300
magnesium,M,general,9,RDA,360
magnesium,M,general,10,EAR,280
magnesium,M,general,10,RDA,340
magnesium,M,general,11,EAR,320
magnesium,M,general,11,RDA,380
magnesium,M,general,12,EAR,310
magnesium,M,general,12,RDA,370
magnesium,M,general,13,EAR,290
magnesium,M,general,13,RDA,350
magnesium,M,general,14,EAR,270
magnesium,M,general,14,RDA,330
magnesium,F,general,1,AI,20
magnesium,F,general,2,AI,60
magnesium,F,general,3,EAR,60
magnesium,F,general,3,RDA,70
magnesium,F,general,4,EAR,80
magnesium,F,general,4,RDA,100
magnesium,F,general,5,EAR,110
magnesium,F,general,5,RDA,130
magnesium,F,general,6,EAR,140
magnesium,F,general,6,RDA,160
magnesium,F,general,7,EAR,180
magnesium,F,general,7,RDA,220
magnesium,F,general,8,EAR,240
magnesium,F,general,8,RDA,290
magnesium,F,general,9,EAR,260
magnesium,F,general,9,RDA,310
magnesium,F,general,10,EAR,230
magnesium,F,general,10,RDA,280
magnesium,F,general,11,EAR,240
magnesium,F,general,11,RDA,290
magnesium,F,general,12,EAR,240
magnesium,F,general,12,RDA,290
magnesium,F,general,13,EAR,240
magnesium,F,general,13,RDA,280
magnesium,F,general,14,EAR,220
magnesium,F,general,14,RDA,270
magnesium,F,pregnant,10,EAR,260
magnesium,F,pregnant,10,RDA,320
magnesium,F,pregnant,11,EAR,270
magnesium,F,pregnant,11,RDA,330
# --- リン (phosphorus) ---
phosphorus,M,general,1,AI,120
phosphorus,M,general,2,AI,260
phosphorus,M,general,3,AI,600
phosphorus,M,general,4,AI,700
phosphorus,M,general,5,AI,900
phosphorus,M,general,6,AI,1000
phosphorus,M,general,7,AI,1100
phosphorus,M,general,8,AI,1200
phosphorus,M,general,9,AI,1200
phosphorus,M,general,10,AI,1000
phosphorus,M,general,10,UL,3000
phosphorus,M,general,11,AI,1000
phosphorus,M,general,11,UL,3000
phosphorus,M,general,12,AI,1000
phosphorus,M,general,12,UL,3000
phosphorus,M,general,13,AI,1000
phosphorus,M,general,13,UL,3000
phosphorus,M,general,14,AI,1000
phosphorus,M,general,14,UL,3000
phosphorus,F,general,1,AI,120
phosphorus,F,general,2,AI,260
phosphorus,F,general,3,AI,500
phosphorus,F,general,4,AI,700
phosphorus,F,general,5,AI,800
phosphorus,F,general,6,AI,900
phosphorus,F,general,7,AI,1000
phosphorus,F,general,8,AI,1100
phosphorus,F,general,9,AI,1000
phosphorus,F,general,10,AI,800
phosphorus,F,general,10,UL,3000
phosphorus,F,general,11,AI,800
phosphorus,F,general,11,UL,3000
phosphorus,F,general,12,AI,800
