nutrient_id,sex_code,life_code,age_band_id,ref_code,value
# --- 鉄 (iron) ---
iron,M,general,1,AI,0.5
iron,M,general,2,AI,0.5
iron,M,general,3,EAR,3.0
iron,M,general,3,RDA,4.0
iron,M,general,4,EAR,3.5
iron,M,general,4,RDA,5.0
iron,M,general,5,EAR,4.5
iron,M,general,5,RDA,6.0
iron,M,general,6,EAR,5.5
iron,M,general,6,RDA,7.5
iron,M,general,7,EAR,6.5
iron,M,general,7,RDA,9.5
iron,M,general,8,EAR,7.5
iron,M,general,8,RDA,9.0
iron,M,general,9,EAR,7.5
iron,M,general,9,RDA,9.0
iron,M,general,10,EAR,5.5
iron,M,general,10,RDA,7.0
iron,M,general,11,EAR,6.0
iron,M,general,11,RDA,7.5
iron,M,general,12,EAR,6.0
iron,M,general,12,RDA,7.0
iron,M,general,13,EAR,5.5
iron,M,general,13,RDA,7.0
iron,M,general,14,EAR,5.5
iron,M,general,14,RDA,6.5
iron,F,general,1,AI,0.5
iron,F,general,2,AI,0.5
iron,F,general,3,EAR,3.0
iron,F,general,3,RDA,4.0
iron,F,general,4,EAR,3.5
iron,F,general,4,RDA,5.0
iron,F,general,5,EAR,4.5
iron,F,general,5,RDA,6.0
iron,F,general,6,EAR,6.0
iron,F,general,6,RDA,8.0
iron,F,general,7,EAR,8.5
iron,F,general,7,RDA,12.5
iron,F,general,8,EAR,9.0
iron,F,general,8,RDA,12.5
iron,F,general,9,EAR,7.5
iron,F,general,9,RDA,11.0
iron,F,general,10,EAR,7.0
iron,F,general,10,RDA,10.0
iron,F,general,11,EAR,7.5
iron,F,general,11,RDA,10.5
iron,F,general,12,EAR,7.5
iron,F,general,12,RDA,10.5
iron,F,general,13,EAR,5.0
iron,F,general,13,RDA,6.0
iron,F,general,14,EAR,4.5
iron,F,general,14,RDA,5.5
iron,F,pregnant,10,EAR,12.0
iron,F,pregnant,10,RDA,14.5
iron,F,pregnant,11,EAR,12.0
iron,F,pregnant,11,RDA,15.0
iron,F,lactating,10,EAR,6.5
iron,F,lactating,10,RDA,8.0
iron,F,lactating,11,EAR,6.5
iron,F,lactating,11,RDA,8.0
# --- 亜鉛 (zinc) ---
zinc,M,general,1,AI,1.5
zinc,M,general,2,AI,2.0
zinc,M,general,3,EAR,2.5
zinc,M,general,3,RDA,3.5
zinc,M,general,4,EAR,3.0
zinc,M,general,4,RDA,4.0
zinc,M,general,5,EAR,3.5
zinc,M,general,5,RDA,5.0
zinc,M,general,6,EAR,4.0
zinc,M,general,6,RDA,5.5
zinc,M,general,7,EAR,5.5
zinc,M,general,7,RDA,8.0
zinc,M,general,8,EAR,7.0
zinc,M,general,8,RDA,8.5
zinc,M,general,9,EAR,8.5
zinc,M,general,9,RDA,10.0
zinc,M,general,10,EAR,7.5
zinc,M,general,10,RDA,9.0
zinc,M,general,10,UL,40
zinc,M,general,11,EAR,8.0
zinc,M,general,11,RDA,9.5
zinc,M,general,11,UL,45
zinc,M,general,12,EAR,8.0
zinc,M,general,12,RDA,9.5
zinc,M,general,12,UL,45
zinc,M,general,13,EAR,7.5
zinc,M,general,13,RDA,9.0
zinc,M,general,13,UL,45
zinc,M,general,14,EAR,7.5
zinc,M,general,14,RDA,9.0
zinc,M,general,14,UL,40
zinc,F,general,1,AI,1.5
zinc,F,general,2,AI,2.0
zinc,F,general,3,EAR,2.0
zinc,F,general,3,RDA,3.0
zinc,F,general,4,EAR,2.5
zinc,F,general,4,RDA,3.5
zinc,F,general,5,EAR,3.0
zinc,F,general,5,RDA,4.5
zinc,F,general,6,EAR,4.0
zinc,F,general,6,RDA,5.5
zinc,F,general,7,EAR,5.5
zinc,F,general,7,RDA,7.5
zinc,F,general,8,EAR,6.5
zinc,F,general,8,RDA,8.5
zinc,F,general,9,EAR,6.0
zinc,F,general,9,RDA,8.0
zinc,F,general,10,EAR,6.0
zinc,F,general,10,RDA,7.5
zinc,F,general,10,UL,35
zinc,F,general,11,EAR,6.5
zinc,F,general,11,RDA,8.0
zinc,F,general,11,UL,35
zinc,F,general,12,EAR,6.5
zinc,F,general,12,RDA,8.0
zinc,F,general,12,UL,35
zinc,F,general,13,EAR,6.5
zinc,F,general,13,RDA,7.5
zinc,F,general,13,UL,35
zinc,F,general,14,EAR,6.0
zinc,F,general,14,RDA,7.0
zinc,F,general,14,UL,35
zinc,F,pregnant,10,EAR,8.0
zinc,F,pregnant,10,RDA,9.5
zinc,F,pregnant,11,EAR,8.5
zinc,F,pregnant,11,RDA,10.0
zinc,F,lactating,10,EAR,8.5
zinc,F,lactating,10,RDA,10.5
zinc,F,lactating,11,EAR,9.0
zinc,F,lactating,11,RDA,11.0
# --- 銅 (copper) ---
copper,M,general,1,AI,0.3
copper,M,general,2,AI,0.4
copper,M,general,3,EAR,0.3
copper,M,general,3,RDA,0.3
copper,M,general,4,EAR,0.3
copper,M,general,4,RDA,0.4
copper,M,general,5,EAR,0.4
copper,M,general,5,RDA,0.4
copper,M,general,6,EAR,0.4
copper,M,general,6,RDA,0.5
copper,M,general,7,EAR,0.5
copper,M,general,7,RDA,0.6
copper,M,general,8,EAR,0.7
copper,M,general,8,RDA,0.8
copper,M,general,9,EAR,0.8
copper,M,general,9,RDA,0.9
copper,M,general,10,EAR,0.7
copper,M,general,10,RDA,0.8
copper,M,general,10,UL,7
copper,M,general,11,EAR,0.8
copper,M,general,11,RDA,0.9
copper,M,general,11,UL,7
copper,M,general,12,EAR,0.7
copper,M,general,12,RDA,0.9
copper,M,general,12,UL,7
copper,M,general,13,EAR,0.7
copper,M,general,13,RDA,0.8
copper,M,general,13,UL,7
copper,M,general,14,EAR,0.7
copper,M,general,14,RDA,0.8
copper,M,general,14,UL,7
copper,F,general,1,AI,0.3
copper,F,general,2,AI,0.4
copper,F,general,3,EAR,0.2
copper,F,general,3,RDA,0.3
copper,F,general,4,EAR,0.3
copper,F,general,4,RDA,0.3
copper,F,general,5,EAR,0.4
copper,F,general,5,RDA,0.4
copper,F,general,6,EAR,0.4
copper,F,general,6,RDA,0.5
copper,F,general,7,EAR,0.5
copper,F,general,7,RDA,0.6
copper,F,general,8,EAR,0.6
copper,F,general,8,RDA,0.8
copper,F,general,9,EAR,0.6
copper,F,general,9,RDA,0.7
copper,F,general,10,EAR,0.6
copper,F,general,10,RDA,0.7
copper,F,general,10,UL,7
copper,F,general,11,EAR,0.6
copper,F,general,11,RDA,0.7
copper,F,general,11,UL,7
copper,F,general,12,EAR,0.6
copper,F,general,12,RDA,0.7
copper,F,general,12,UL,7
copper,F,general,13,EAR,0.6
copper,F,general,13,RDA,0.7
copper,F,general,13,UL,7
copper,F,general,14,EAR,0.6
copper,F,general,14,RDA,0.7
copper,F,general,14,UL,7
copper,F,pregnant,10,EAR,0.7
copper,F,pregnant,10,RDA,0.8
copper,F,pregnant,11,EAR,0.7
copper,F,pregnant,11,RDA,0.8
copper,F,lactating,10,EAR,1.1
copper,F,lactating,10,RDA,1.3
copper,F,lactating,11,EAR,1.1
copper,F,lactating,11,RDA,1.3
# --- マンガン (manganese) ---
manganese,M,general,1,AI,0.01
manganese,M,general,2,AI,0.5
manganese,M,general,3,AI,1.5
manganese,M,general,4,AI,2.0
manganese,M,general,5,AI,2.0
manganese,M,general,6,AI,2.5
manganese,M,general,7,AI,3.0
manganese,M,general,8,AI,3.5
manganese,M,general,9,AI,3.5
