食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
アマランサス　玄穀,0,343,13.5,(11.3),12.7,5.0,(0),6.0,63.5,57.8,59.9,7.4,-,64.9,-,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,(0),0,2,0,2,Tr,(0),1.3,2.3,0.2,0.7,(0),0.04,0.14,1.0,(3.8),0.58,(0),130,1.69,16.0,(0),-,0
あわ　精白粒,0,346,13.3,10.2,11.2,4.1,(0),4.4,69.6,63.3,67.6,3.3,0,69.7,-,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,(0),(0),(0),(0),(0),(0),(0),0.6,0,2.2,0,(0),0.56,0.07,2.9,6.4,0.18,(0),29,1.83,14.0,0,-,0
あわ　あわもち,0,210,48.0,(4.5),5.1,(1.2),0,1.3,(44.5),(40.5),44.6,1.5,-,45.3,-,0.3,0,62,5,12,39,0.7,1.1,0.20,0.46,0,1,0,40,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.08,0.01,0.3,(1.7),0.03,0,7,0.61,3.4,0,-,0
えんばく　オートミール,0,350,10.0,12.2,13.7,(5.1),(0),5.7,63.1,57.4,61.8,9.4,-,69.1,-,1.5,3,260,47,100,370,3.9,2.1,0.28,-,0,18,0,110,(0),-,-,-,(0),(0),(0),0.6,0.1,0,0,(0),0.20,0.08,1.1,4.5,0.11,(0),30,1.29,22.0,(0),-,0
おおむぎ　七分つき押麦,0,343,14.0,(9.7),10.9,1.8,(0),2.1,(71.3),(64.9),63.3,10.3,-,72.1,-,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,Tr,0.1,0,(0),0.22,0.07,3.2,(5.8),0.14,(0),17,0.43,-,(0),-,0
おおむぎ　押麦　乾,0,329,12.7,5.9,6.7,1.2,(0),1.5,72.4,65.8,67.2,12.2,-,78.3,-,0.7,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.11,0.03,3.4,5.0,0.13,(0),10,0.40,2.7,(0),-,0
おおむぎ　押麦　めし,0,118,68.6,2.0,2.2,0.4,(0),0.5,24.2,22.0,24.6,4.2,-,28.5,-,0.2,Tr,38,6,10,46,0.4,0.4,0.08,0.24,(0),Tr,(0),3,(0),-,-,-,(0),(0),(0),Tr,(0),(0),(0),(0),0.02,Tr,0.8,1.3,0.03,(0),3,0.13,0.8,(0),-,0
おおむぎ　米粒麦,0,333,14.0,(6.2),7.0,(1.8),(0),2.1,68.8,62.5,68.6,8.7,-,76.2,-,0.7,2,170,17,25,140,1.2,1.2,0.37,-,Tr,1,Tr,9,(0),-,-,-,(0),(0),(0),0.1,0,0,0,(0),0.19,0.05,2.3,(4.0),0.19,(0),10,0.64,3.5,(0),-,0
おおむぎ　大麦めん　乾,0,343,14.0,(11.7),12.9,(1.4),(0),1.7,(72.2),(65.7),63.2,6.3,-,68.0,-,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.90,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.21,0.04,3.5,(6.3),0.09,(0),19,0.64,-,(0),-,2.8
おおむぎ　大麦めん　ゆで,0,121,70.0,(4.4),4.8,(0.5),(0),0.6,(25.2),(22.9),22.3,2.5,-,24.3,-,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.04,0.01,1.0,(2.0),0.01,(0),5,0.26,-,(0),-,0.2
おおむぎ　麦こがし,0,368,3.5,(11.1),12.5,(4.2),(0),5.0,(80.1),(72.8),63.8,15.5,-,77.1,-,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.1,0.2,0,(0),0.09,0.10,7.6,(11.0),0.09,(0),24,0.28,-,(0),-,0
キヌア　玄穀,0,344,12.2,9.7,13.4,2.7,0,3.2,60.7,55.4,67.1,6.2,-,69.0,-,2.2,35,580,46,180,410,4.3,2.8,0.47,2.45,2,3,3,23,0,0,11,1,12,1,(0),2.6,0.1,4.0,0.1,Tr,0.45,0.24,1.2,4.0,0.39,Tr,190,0.95,23.0,0,-,0.1
きび　精白粒,0,353,13.8,10.0,11.3,2.9,(0),3.3,71.5,65.0,70.9,1.6,0.1,70.9,-,0.7,2,200,9,84,160,2.1,2.7,0.38,-,0,2,1,16,(0),(0),(0),(0),(0),(0),(0),Tr,Tr,0.5,0.3,(0),0.34,0.09,3.7,6.2,0.20,(0),13,0.95,7.9,0,-,0
こむぎ　［玄穀］　国産　普通,0,329,12.5,9.5,10.8,2.5,(0),3.1,64.3,58.5,59.8,14.0,-,72.1,-,1.6,2,440,26,82,350,3.2,2.6,0.38,3.90,1,3,1,29,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.41,0.09,6.3,8.9,0.35,(0),38,1.03,7.5,(0),-,0
こむぎ　［玄穀］　輸入　軟質,0,344,10.0,-,10.1,2.7,(0),3.3,68.4,62.2,64.6,11.2,-,75.2,-,1.4,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19,(0),-,-,-,(0),(0),(0),1.2,0.6,0,0,(0),0.49,0.09,5.0,6.7,0.34,(0),40,1.07,9.6,(0),-,0
