食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
アマランサス　玄穀,13.5,5.0,6.0,4.75,1.18,1.48,2.10,0.04,2.06
あわ　精白粒,13.3,4.1,4.4,3.94,0.67,0.52,2.75,0.12,2.63
あわ　あわもち,48.0,(1.2),1.3,(1.14),(0.22),(0.19),(0.73),(0.03),(0.70)
えんばく　オートミール,10.0,(5.1),5.7,(4.90),(1.01),(1.80),(2.09),(0.09),(2.00)
おおむぎ　七分つき押麦,14.0,1.8,2.1,1.69,0.58,0.20,0.91,0.05,0.86
おおむぎ　押麦　乾,12.7,1.2,1.5,1.18,0.43,0.13,0.62,0.03,0.59
おおむぎ　押麦　めし,68.6,0.4,0.5,0.38,0.14,0.04,0.20,0.01,0.19
おおむぎ　米粒麦,14.0,(1.8),2.1,(1.69),(0.58),(0.20),(0.91),(0.05),(0.86)
おおむぎ　大麦めん　乾,14.0,(1.4),1.7,(1.35),(0.43),(0.15),(0.78),(0.04),(0.74)
おおむぎ　大麦めん　ゆで,70.0,(0.5),0.6,(0.48),(0.15),(0.05),(0.27),(0.01),(0.26)
おおむぎ　麦こがし,3.5,(4.2),5.0,(4.03),(1.39),(0.47),(2.17),(0.13),(2.04)
キヌア　玄穀,12.2,2.7,3.2,2.63,0.33,0.77,1.52,0.19,1.34
きび　精白粒,13.8,2.9,3.3,2.77,0.44,0.56,1.78,0.04,1.74
こむぎ　［玄穀］　国産　普通,12.5,2.5,3.1,2.42,0.55,0.35,1.52,0.10,1.42
こむぎ　［玄穀］　輸入　軟質,10.0,2.7,3.3,2.61,0.60,0.38,1.63,0.11,1.53
こむぎ　［玄穀］　輸入　硬質,13.0,2.5,3.0,2.37,0.54,0.34,1.49,0.10,1.39
こむぎ　［小麦粉］　薄力粉　1等,14.0,1.3,1.5,1.23,0.34,0.13,0.75,0.04,0.72
こむぎ　［小麦粉］　薄力粉　2等,14.0,(1.6),1.9,(1.56),(0.43),(0.17),(0.96),(0.05),(0.91)
こむぎ　［小麦粉］　中力粉　1等,14.0,1.4,1.6,1.29,0.36,0.14,0.80,0.04,0.75
こむぎ　［小麦粉］　中力粉　2等,14.0,(1.6),1.8,(1.48),(0.41),(0.16),(0.91),(0.05),(0.86)
こむぎ　［小麦粉］　強力粉　1等,14.5,1.3,1.5,1.26,0.35,0.14,0.77,0.04,0.73
こむぎ　［小麦粉］　強力粉　2等,14.5,(1.5),1.7,(1.42),(0.39),(0.15),(0.87),(0.04),(0.83)
こむぎ　［小麦粉］　強力粉　全粒粉,14.5,(2.4),2.9,(2.29),(0.53),(0.33),(1.44),(0.09),(1.34)
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,9.8,1.8,1.9,1.68,0.42,0.32,0.93,0.07,0.86
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,11.1,(3.6),4.0,(3.47),(1.54),(1.07),(0.86),(0.04),(0.82)
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,8.3,1.0,1.2,0.96,0.33,0.16,0.47,0.03,0.44
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,12.4,1.1,1.3,1.04,0.32,0.14,0.58,0.03,0.55
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,65.5,(0.4),0.5,(0.42),(0.13),(0.06),(0.24),(0.01),(0.22)
こむぎ　［パン類］　角形食パン　食パン,39.2,3.7,4.1,3.57,1.50,1.24,0.82,0.05,0.77
こむぎ　［パン類］　角形食パン　焼き,33.6,4.0,4.5,3.85,1.63,1.33,0.90,0.06,0.84
こむぎ　［パン類］　角形食パン　耳を除いたもの,44.2,3.4,3.7,3.23,1.37,1.12,0.74,0.05,0.69
こむぎ　［パン類］　コッペパン,37.0,(3.6),3.8,(3.39),(1.64),(1.00),(0.75),(0.04),(0.71)
こむぎ　［パン類］　バンズ,32.9,4.4,4.8,4.22,1.81,1.53,0.88,0.05,0.83
こむぎ　［パン類］　乾パン,5.5,(4.0),4.4,(3.86),(1.70),(1.01),(1.15),(0.06),(1.09)
