food_name,energy,protein,saturated_fatty_acids,n6_fatty_acids,n3_fatty_acids,carbohydrate,fiber,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c,salt_equivalent,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,quantity,unit,price
アマランサス　玄穀,343.0,11.3,1.18,2.06,0.04,63.5,7.4,0.0,0.0,1.3,0.0,0.04,0.14,1.0,0.58,0.0,130.0,1.69,16.0,0.0,0.0,600.0,160.0,270.0,540.0,9.4,5.8,0.92,6.14,1.0,13.0,7.0,59.0,100,g,
あわ　精白粒,346.0,10.2,0.67,2.63,0.12,69.6,3.3,0.0,0.0,0.6,0.0,0.56,0.07,2.9,0.18,0.0,29.0,1.83,14.0,0.0,0.0,300.0,14.0,110.0,280.0,4.8,2.5,0.49,0.88,0.0,2.0,1.0,22.0,100,g,
あわ　あわもち,210.0,4.5,0.22,0.7,0.03,44.5,1.5,0.0,0.0,0.1,0.0,0.08,0.01,0.3,0.03,0.0,7.0,0.61,3.4,0.0,0.0,62.0,5.0,12.0,39.0,0.7,1.1,0.2,0.46,0.0,1.0,0.0,40.0,100,g,
えんばく　オートミール,350.0,12.2,1.01,2.0,0.09,63.1,9.4,0.0,0.0,0.6,0.0,0.2,0.08,1.1,0.11,0.0,30.0,1.29,22.0,0.0,0.0,260.0,47.0,100.0,370.0,3.9,2.1,0.28,0.0,0.0,18.0,0.0,110.0,100,g,
おおむぎ　七分つき押麦,343.0,9.7,0.58,0.86,0.05,71.3,10.3,0.0,0.0,0.2,0.0,0.22,0.07,3.2,0.14,0.0,17.0,0.43,0.0,0.0,0.0,220.0,23.0,46.0,180.0,1.3,1.4,0.32,0.85,0.0,0.0,0.0,0.0,100,g,
おおむぎ　押麦　乾,329.0,5.9,0.43,0.59,0.03,72.4,12.2,0.0,0.0,0.1,0.0,0.11,0.03,3.4,0.13,0.0,10.0,0.4,2.7,0.0,0.0,210.0,21.0,40.0,160.0,1.1,1.1,0.22,0.86,0.0,1.0,0.0,11.0,100,g,
おおむぎ　押麦　めし,118.0,2.0,0.14,0.19,0.01,24.2,4.2,0.0,0.0,0.0,0.0,0.02,0.0,0.8,0.03,0.0,3.0,0.13,0.8,0.0,0.0,38.0,6.0,10.0,46.0,0.4,0.4,0.08,0.24,0.0,0.0,0.0,3.0,100,g,
おおむぎ　米粒麦,333.0,6.2,0.58,0.86,0.05,68.8,8.7,0.0,0.0,0.1,0.0,0.19,0.05,2.3,0.19,0.0,10.0,0.64,3.5,0.0,0.0,170.0,17.0,25.0,140.0,1.2,1.2,0.37,0.0,0.0,1.0,0.0,9.0,100,g,
おおむぎ　大麦めん　乾,343.0,11.7,0.43,0.74,0.04,72.2,6.3,0.0,0.0,0.0,0.0,0.21,0.04,3.5,0.09,0.0,19.0,0.64,0.0,0.0,2.8,240.0,27.0,63.0,200.0,2.1,1.5,0.33,0.9,0.0,0.0,0.0,0.0,100,g,
おおむぎ　大麦めん　ゆで,121.0,4.4,0.15,0.26,0.01,25.2,2.5,0.0,0.0,0.0,0.0,0.04,0.01,1.0,0.01,0.0,5.0,0.26,0.0,0.0,0.2,10.0,12.0,18.0,61.0,0.9,0.6,0.13,0.27,0.0,0.0,0.0,0.0,100,g,
おおむぎ　麦こがし,368.0,11.1,1.39,2.04,0.13,80.1,15.5,0.0,0.0,0.5,0.0,0.09,0.1,7.6,0.09,0.0,24.0,0.28,0.0,0.0,0.0,490.0,43.0,130.0,340.0,3.1,3.8,0.41,1.81,0.0,0.0,0.0,0.0,100,g,
キヌア　玄穀,344.0,9.7,0.33,1.34,0.19,60.7,6.2,1.0,0.0,2.6,0.0,0.45,0.24,1.2,0.39,0.0,190.0,0.95,23.0,0.0,0.1,580.0,46.0,180.0,410.0,4.3,2.8,0.47,2.45,2.0,3.0,3.0,23.0,100,g,
きび　精白粒,353.0,10.0,0.44,1.74,0.04,71.5,1.6,0.0,0.0,0.0,0.0,0.34,0.09,3.7,0.2,0.0,13.0,0.95,7.9,0.0,0.0,200.0,9.0,84.0,160.0,2.1,2.7,0.38,0.0,0.0,2.0,1.0,16.0,100,g,
こむぎ　［玄穀］　国産　普通,329.0,9.5,0.55,1.42,0.1,64.3,14.0,0.0,0.0,1.2,0.0,0.41,0.09,6.3,0.35,0.0,38.0,1.03,7.5,0.0,0.0,440.0,26.0,82.0,350.0,3.2,2.6,0.38,3.9,1.0,3.0,1.0,29.0,100,g,
こむぎ　［玄穀］　輸入　軟質,344.0,0.0,0.6,1.53,0.11,68.4,11.2,0.0,0.0,1.2,0.0,0.49,0.09,5.0,0.34,0.0,40.0,1.07,9.6,0.0,0.0,390.0,36.0,110.0,290.0,2.9,1.7,0.32,3.79,0.0,5.0,1.0,19.0,100,g,
こむぎ　［玄穀］　輸入　硬質,332.0,0.0,0.54,1.39,0.1,62.6,11.4,0.0,0.0,1.2,0.0,0.35,0.09,5.8,0.34,0.0,49.0,1.29,11.0,0.0,0.0,340.0,26.0,140.0,320.0,3.2,3.1,0.43,4.09,0.0,54.0,1.0,47.0,100,g,
こむぎ　［小麦粉］　薄力粉　1等,349.0,7.7,0.34,0.72,0.04,80.3,2.5,0.0,0.0,0.3,0.0,0.11,0.03,0.6,0.03,0.0,9.0,0.53,1.2,0.0,0.0,110.0,20.0,12.0,60.0,0.5,0.3,0.08,0.43,0.0,4.0,2.0,12.0,100,g,
こむぎ　［小麦粉］　薄力粉　2等,345.0,8.3,0.43,0.91,0.05,77.7,2.6,0.0,0.0,1.0,0.0,0.21,0.04,1.0,0.09,0.0,14.0,0.62,2.5,0.0,0.0,130.0,23.0,30.0,77.0,0.9,0.7,0.18,0.77,0.0,3.0,2.0,14.0,100,g,
こむぎ　［小麦粉］　中力粉　1等,337.0,8.3,0.36,0.75,0.04,76.4,2.8,0.0,0.0,0.3,0.0,0.1,0.03,0.6,0.05,0.0,8.0,0.47,1.5,0.0,0.0,100.0,17.0,18.0,64.0,0.5,0.5,0.11,0.43,0.0,7.0,0.0,9.0,100,g,
こむぎ　［小麦粉］　中力粉　2等,346.0,8.9,0.41,0.86,0.05,73.1,2.1,0.0,0.0,0.8,0.0,0.22,0.04,1.2,0.07,0.0,12.0,0.66,2.6,0.0,0.0,110.0,24.0,26.0,80.0,1.1,0.6,0.14,0.77,0.0,7.0,2.0,10.0,100,g,
こむぎ　［小麦粉］　強力粉　1等,337.0,11.0,0.35,0.73,0.04,73.5,2.7,0.0,0.0,0.3,0.0,0.09,0.04,0.8,0.06,0.0,16.0,0.77,1.7,0.0,0.0,89.0,17.0,23.0,64.0,0.9,0.8,0.15,0.32,0.0,39.0,1.0,26.0,100,g,
こむぎ　［小麦粉］　強力粉　2等,343.0,11.9,0.39,0.83,0.04,70.0,2.1,0.0,0.0,0.5,0.0,0.13,0.04,1.1,0.08,0.0,18.0,0.93,2.6,0.0,0.0,86.0,21.0,36.0,86.0,1.0,1.0,0.19,0.58,0.0,49.0,1.0,30.0,100,g,
こむぎ　［小麦粉］　強力粉　全粒粉,320.0,11.7,0.53,1.34,0.09,61.2,11.2,0.0,0.0,1.0,0.0,0.34,0.09,5.7,0.33,0.0,48.0,1.27,11.0,0.0,0.0,330.0,26.0,140.0,310.0,3.1,3.0,0.42,4.02,0.0,47.0,3.0,44.0,100,g,
こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335.0,9.0,0.42,0.86,0.07,74.1,2.8,1.0,0.1,0.6,1.0,0.21,0.03,1.5,0.07,0.1,17.0,0.41,2.4,0.0,3.7,210.0,64.0,31.0,320.0,1.0,0.7,0.13,0.92,1400.0,8.0,3.0,15.0,100,g,
こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360.0,7.1,1.54,0.82,0.04,78.6,1.8,9.0,0.1,0.5,1.0,0.1,0.08,0.5,0.04,0.1,10.0,0.48,1.5,0.0,1.0,230.0,100.0,12.0,170.0,0.5,0.3,0.07,0.0,0.0,3.0,5.0,11.0,100,g,
こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311.0,9.2,0.33,0.44,0.03,69.4,2.6,5.0,0.0,0.3,2.0,0.15,0.07,1.3,0.12,0.0,26.0,0.33,4.3,0.0,9.7,280.0,110.0,39.0,130.0,1.2,0.7,0.1,0.96,1.0,6.0,6.0,23.0,100,g,
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337.0,8.2,0.32,0.55,0.03,77.1,2.5,1.0,0.0,0.3,0.0,0.12,0.99,0.9,0.06,0.0,12.0,0.35,1.3,0.0,0.5,160.0,140.0,19.0,120.0,0.6,0.5,0.12,0.62,1.0,3.0,2.0,10.0,100,g,
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132.0,3.0,0.13,0.22,0.01,30.3,1.9,3.0,0.0,0.1,0.0,0.04,0.16,0.4,0.02,0.0,3.0,0.19,0.5,0.0,0.2,67.0,84.0,6.0,51.0,0.2,0.1,0.04,0.2,1.0,1.0,1.0,3.0,100,g,
こむぎ　［パン類］　角形食パン　食パン,248.0,7.4,1.5,0.77,0.05,48.2,4.2,0.0,0.0,0.4,0.0,0.07,0.05,1.1,0.03,0.0,30.0,0.42,2.3,0.0,1.2,86.0,22.0,18.0,67.0,0.5,0.5,0.09,0.25,1.0,22.0,1.0,15.0,100,g,
こむぎ　［パン類］　角形食パン　焼き,269.0,8.3,1.63,0.84,0.06,52.1,4.6,0.0,0.0,0.4,0.0,0.07,0.05,1.2,0.03,0.0,30.0,0.45,2.2,0.0,1.3,93.0,26.0,20.0,77.0,0.5,0.6,0.1,0.28,1.0,25.0,1.0,17.0,100,g,
こむぎ　［パン類］　角形食パン　耳を除いたもの,226.0,6.9,1.37,0.69,0.05,43.9,3.8,0.0,0.0,0.3,0.0,0.06,0.05,1.1,0.04,0.0,17.0,0.3,2.2,0.0,1.1,78.0,20.0,16.0,61.0,0.4,0.4,0.08,0.23,1.0,20.0,1.0,12.0,100,g,
こむぎ　［パン類］　コッペパン,273.0,8.2,1.64,0.71,0.04,53.9,3.9,1.0,0.0,0.6,2.0,0.08,0.07,1.2,0.05,0.1,36.0,0.47,3.3,0.0,1.0,91.0,22.0,22.0,74.0,0.5,0.7,0.11,0.35,2.0,19.0,1.0,14.0,100,g,
こむぎ　［パン類］　バンズ,274.0,8.9,1.81,0.83,0.05,51.2,4.2,0.0,0.0,0.7,0.0,0.11,0.06,1.6,0.05,0.0,27.0,0.43,3.2,0.0,1.2,97.0,29.0,21.0,85.0,0.6,0.7,0.11,0.34,1.0,30.0,2.0,18.0,100,g,
こむぎ　［パン類］　乾パン,386.0,8.7,1.7,1.09,0.06,82.2,3.1,0.0,0.0,1.1,0.0,0.14,0.06,0.9,0.06,0.0,20.0,0.41,0.0,0.0,1.2,160.0,30.0,27.0,95.0,1.2,0.6,0.18,0.82,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　フランスパン,289.0,8.6,0.29,0.6,0.03,63.9,2.7,0.0,0.0,0.1,0.0,0.08,0.05,1.1,0.04,0.0,33.0,0.45,1.9,0.0,1.6,110.0,16.0,22.0,72.0,0.9,0.8,0.14,0.39,0.0,29.0,1.0,20.0,100,g,
こむぎ　［パン類］　ライ麦パン,252.0,6.7,0.9,0.41,0.03,0.0,5.6,0.0,0.0,0.3,0.0,0.16,0.06,1.3,0.09,0.0,34.0,0.46,0.0,0.0,1.2,190.0,16.0,40.0,130.0,1.4,1.3,0.18,0.87,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　ぶどうパン,263.0,7.4,1.57,0.56,0.03,0.0,2.2,0.0,0.0,0.4,0.0,0.11,0.05,1.2,0.07,0.0,33.0,0.42,0.0,0.0,1.0,210.0,32.0,23.0,86.0,0.9,0.6,0.15,0.32,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　ロールパン,309.0,8.5,4.02,1.14,0.12,49.7,2.0,1.0,0.1,0.5,0.0,0.1,0.06,1.3,0.03,0.0,38.0,0.61,0.0,0.0,1.2,110.0,44.0,22.0,97.0,0.7,0.8,0.12,0.29,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　クロワッサン　リッチタイプ,438.0,7.3,12.16,2.93,0.22,0.0,1.8,6.0,0.1,1.9,0.0,0.08,0.03,1.0,0.03,0.0,33.0,0.44,0.0,0.0,1.2,90.0,21.0,17.0,67.0,0.6,0.6,0.1,0.29,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　イングリッシュマフィン,224.0,7.4,1.21,1.13,0.06,40.1,1.2,0.0,0.0,0.3,0.0,0.15,0.08,1.2,0.05,0.0,23.0,0.32,0.0,0.0,1.2,84.0,53.0,19.0,96.0,0.9,0.8,0.12,0.28,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　ナン,257.0,9.3,0.53,0.81,0.19,45.6,2.0,0.0,0.0,0.6,0.0,0.13,0.06,1.3,0.05,0.0,36.0,0.55,0.0,0.0,1.3,97.0,11.0,22.0,77.0,0.8,0.7,0.11,0.3,0.0,0.0,0.0,0.0,100,g,
こむぎ　［パン類］　ベーグル,270.0,8.2,0.71,0.59,0.04,50.3,2.5,0.0,0.0,0.2,0.0,0.19,0.08,2.0,0.06,0.0,47.0,0.28,0.0,0.0,1.2,97.0,24.0,24.0,81.0,1.3,0.7,0.11,0.45,0.0,0.0,0.0,0.0,100,g,
こむぎ　［うどん・そうめん類］　うどん　生,249.0,5.2,0.14,0.29,0.02,55.0,3.6,0.0,0.0,0.2,0.0,0.09,0.03,0.6,0.03,0.0,5.0,0.36,0.8,0.0,2.5,90.0,18.0,13.0,49.0,0.3,0.3,0.08,0.39,2.0,6.0,2.0,7.0,100,g,
こむぎ　［うどん・そうめん類］　うどん　ゆで,95.0,2.3,0.09,0.19,0.01,21.4,1.3,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.01,0.0,2.0,0.13,0.3,0.0,0.3,9.0,6.0,6.0,18.0,0.2,0.1,0.04,0.12,0.0,2.0,1.0,2.0,100,g,
こむぎ　［うどん・そうめん類］　うどん　半生うどん,296.0,6.6,0.78,1.63,0.09,63.0,4.1,0.0,0.0,0.2,0.0,0.1,0.03,0.7,0.03,0.0,6.0,0.41,0.9,0.0,3.0,98.0,22.0,15.0,64.0,0.6,0.3,0.09,0.45,2.0,6.0,2.0,8.0,100,g,
こむぎ　［うどん・そうめん類］　干しうどん　乾,333.0,8.0,0.25,0.53,0.03,76.8,2.4,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.04,0.0,9.0,0.45,1.3,0.0,4.3,130.0,17.0,19.0,70.0,0.6,0.4,0.11,0.5,0.0,10.0,1.0,12.0,100,g,
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117.0,2.9,0.11,0.24,0.01,26.7,0.7,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.01,0.0,2.0,0.14,0.0,0.0,0.5,14.0,7.0,4.0,24.0,0.2,0.1,0.04,0.14,0.0,0.0,0.0,0.0,100,g,
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333.0,8.8,0.25,0.53,0.03,71.5,2.5,0.0,0.0,0.3,0.0,0.08,0.02,0.9,0.03,0.0,8.0,0.7,1.3,0.0,3.8,120.0,17.0,22.0,70.0,0.6,0.4,0.12,0.44,0.0,16.0,1.0,14.0,100,g,
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114.0,3.3,0.09,0.19,0.01,25.6,0.9,0.0,0.0,0.1,0.0,0.02,0.01,0.2,0.0,0.0,2.0,0.25,0.4,0.0,0.2,5.0,6.0,5.0,24.0,0.2,0.2,0.05,0.12,0.0,6.0,1.0,3.0,100,g,
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312.0,8.6,0.38,0.73,0.03,69.7,1.8,0.0,0.0,0.1,0.0,0.06,0.02,0.9,0.03,0.0,10.0,0.52,1.1,0.0,5.8,110.0,20.0,23.0,70.0,0.6,0.4,0.14,0.43,1.0,22.0,1.0,16.0,100,g,
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119.0,3.2,0.15,0.29,0.01,24.3,1.0,0.0,0.0,0.0,0.0,0.03,0.01,0.2,0.0,0.0,2.0,0.16,0.0,0.0,0.3,5.0,6.0,4.0,23.0,0.2,0.1,0.05,0.12,0.0,0.0,0.0,0.0,100,g,
こむぎ　［中華めん類］　中華めん　生,249.0,8.5,0.28,0.58,0.03,52.2,5.4,0.0,0.0,0.2,0.0,0.02,0.02,0.6,0.02,0.0,8.0,0.55,1.0,0.0,1.0,350.0,21.0,13.0,66.0,0.5,0.4,0.09,0.35,0.0,33.0,1.0,20.0,100,g,
こむぎ　［中華めん類］　中華めん　ゆで,133.0,4.8,0.14,0.29,0.02,27.7,2.8,0.0,0.0,0.1,0.0,0.01,0.01,0.2,0.0,0.0,3.0,0.25,0.5,0.0,0.2,60.0,20.0,7.0,29.0,0.3,0.2,0.05,0.18,0.0,17.0,0.0,5.0,100,g,
こむぎ　［中華めん類］　半生中華めん　,305.0,9.8,0.91,1.97,0.1,59.5,6.2,0.0,0.0,0.0,0.0,0.07,0.03,0.7,0.02,0.0,9.0,0.63,1.3,0.0,1.2,430.0,21.0,15.0,72.0,0.7,0.4,0.1,0.4,1.0,35.0,1.0,23.0,100,g,
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162.0,4.7,0.38,0.81,0.04,33.6,3.1,0.0,0.0,0.1,0.0,0.0,0.16,0.3,0.02,0.0,4.0,0.19,0.7,0.0,0.3,80.0,10.0,9.0,40.0,0.4,0.2,0.06,0.23,0.0,9.0,1.0,6.0,100,g,
こむぎ　［中華めん類］　蒸し中華めん  ソテー,211.0,5.1,0.53,1.25,0.27,39.4,3.6,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.02,0.0,4.0,0.21,0.8,0.0,0.3,87.0,10.0,10.0,43.0,0.4,0.2,0.06,0.25,0.0,10.0,1.0,7.0,100,g,
こむぎ　［中華めん類］　干し中華めん　乾,337.0,11.5,0.36,0.78,0.04,71.4,6.0,0.0,0.0,0.2,0.0,0.02,0.03,0.8,0.05,0.0,11.0,0.76,1.4,0.0,1.0,300.0,21.0,23.0,82.0,1.1,0.5,0.15,0.44,0.0,24.0,1.0,18.0,100,g,
こむぎ　［中華めん類］　干し中華めん　ゆで,131.0,4.8,0.12,0.25,0.01,28.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,3.0,0.25,0.5,0.0,0.2,42.0,13.0,10.0,29.0,0.4,0.2,0.05,0.18,0.0,9.0,0.0,4.0,100,g,
こむぎ　［中華めん類］　沖縄そば　生,266.0,9.1,0.46,0.97,0.05,52.8,2.1,0.0,0.0,0.3,0.0,0.02,0.04,0.8,0.11,0.0,15.0,0.63,0.0,0.0,2.1,340.0,11.0,50.0,65.0,0.7,1.1,0.18,0.69,0.0,0.0,0.0,0.0,100,g,
こむぎ　［中華めん類］　沖縄そば　ゆで,132.0,5.1,0.18,0.39,0.02,27.3,1.5,0.0,0.0,0.2,0.0,0.01,0.02,0.2,0.03,0.0,6.0,0.23,0.0,0.0,0.4,80.0,9.0,28.0,28.0,0.4,0.6,0.1,0.37,0.0,0.0,0.0,0.0,100,g,
こむぎ　［中華めん類］　干し沖縄そば　乾,317.0,11.9,0.39,0.82,0.04,67.3,2.1,0.0,0.0,0.1,0.0,0.12,0.05,1.1,0.05,0.0,8.0,0.49,0.0,0.0,4.3,130.0,23.0,22.0,100.0,1.5,0.4,0.11,0.38,0.0,0.0,0.0,0.0,100,g,
こむぎ　［中華めん類］　干し沖縄そば　ゆで,132.0,5.1,0.14,0.29,0.02,27.7,1.5,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.01,0.0,3.0,0.18,0.0,0.0,0.5,10.0,11.0,8.0,36.0,0.5,0.1,0.05,0.16,0.0,0.0,0.0,0.0,100,g,
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424.0,9.0,7.31,2.19,0.06,63.0,2.5,0.0,0.0,3.1,1.0,1.46,1.67,1.0,0.06,0.0,12.0,0.41,0.0,0.0,6.4,260.0,430.0,29.0,110.0,1.0,0.5,0.13,0.82,0.0,0.0,0.0,0.0,100,g,
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439.0,0.0,8.46,2.11,0.09,60.4,2.4,1.0,0.0,2.2,3.0,0.55,0.83,0.9,0.05,0.0,10.0,0.44,1.8,0.0,5.6,150.0,230.0,25.0,110.0,0.9,0.5,0.16,0.53,2.0,16.0,7.0,16.0,100,g,
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100.0,0.0,2.03,0.49,0.01,13.4,0.5,0.0,0.0,0.5,1.0,0.02,0.13,0.2,0.01,0.0,2.0,0.1,0.4,0.0,1.1,33.0,28.0,6.0,20.0,0.2,0.1,0.03,0.12,0.0,4.0,2.0,4.0,100,g,
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189.0,3.5,3.19,0.8,0.03,28.7,2.6,0.0,0.0,0.8,0.0,0.05,0.06,0.3,0.01,0.0,3.0,0.11,0.7,0.0,0.4,34.0,95.0,8.0,40.0,0.2,0.2,0.05,0.17,1.0,9.0,2.0,6.0,100,g,
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453.0,8.2,8.43,2.09,0.07,65.2,5.5,0.0,0.0,2.2,1.0,0.16,0.19,1.1,0.05,0.0,9.0,0.26,1.6,0.0,1.5,150.0,220.0,20.0,97.0,0.6,0.4,0.09,0.42,1.0,24.0,5.0,18.0,100,g,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336.0,0.0,1.26,1.45,0.1,65.7,2.3,1.0,0.0,1.3,3.0,0.21,0.04,1.0,0.05,0.0,14.0,0.37,2.2,0.0,6.9,260.0,110.0,25.0,110.0,0.8,0.4,0.11,0.66,13.0,8.0,3.0,16.0,100,g,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93.0,0.0,0.2,0.23,0.01,17.4,0.6,0.0,0.0,0.2,1.0,0.01,0.01,0.2,0.01,0.0,4.0,0.1,0.6,0.0,1.1,68.0,6.0,6.0,26.0,0.2,0.1,0.03,0.17,4.0,2.0,1.0,4.0,100,g,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139.0,3.3,0.31,0.23,0.01,29.2,2.7,3.0,0.0,0.7,0.0,0.0,0.0,0.4,0.01,0.0,3.0,0.12,0.6,0.0,0.6,64.0,94.0,8.0,46.0,0.2,0.2,0.04,0.17,1.0,5.0,2.0,4.0,100,g,
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334.0,7.9,0.71,0.57,0.03,74.4,6.5,5.0,0.0,1.7,0.0,0.01,0.01,1.1,0.05,0.0,8.0,0.34,1.5,0.0,3.0,310.0,230.0,21.0,130.0,0.6,0.4,0.08,0.5,3.0,14.0,6.0,15.0,100,g,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422.0,9.5,8.21,2.05,0.07,57.0,5.8,26.0,0.2,3.1,17.0,0.9,0.61,1.2,0.07,0.1,16.0,0.3,2.3,2.0,5.8,190.0,190.0,25.0,110.0,0.7,0.5,0.09,0.41,5.0,22.0,9.0,15.0,100,g,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92.0,2.1,1.85,0.46,0.02,3.8,1.3,6.0,0.0,0.7,4.0,0.2,0.14,0.3,0.02,0.0,4.0,0.07,0.5,1.0,1.3,43.0,43.0,6.0,24.0,0.2,0.1,0.02,0.09,1.0,5.0,2.0,3.0,100,g,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175.0,3.3,3.38,0.81,0.02,24.9,2.2,6.0,0.0,1.2,1.0,0.19,0.14,0.3,0.02,0.0,4.0,0.1,0.6,0.0,1.1,37.0,76.0,7.0,34.0,0.3,0.2,0.04,0.14,1.0,9.0,3.0,5.0,100,g,
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417.0,8.3,8.27,2.21,0.08,54.7,6.1,12.0,0.0,2.7,10.0,0.61,0.52,1.2,0.06,0.1,14.0,0.2,2.4,2.0,6.3,180.0,200.0,26.0,110.0,0.8,0.5,0.07,0.4,12.0,19.0,7.0,17.0,100,g,
