nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
# --- ナトリウム(sodium) & 食塩相当量(salt_equivalent) ---
sodium,M,general,1,AI,ABS,100,,,
salt_equivalent,M,general,1,AI,ABS,0.3,,,
sodium,M,general,2,AI,ABS,600,,,
salt_equivalent,M,general,2,AI,ABS,1.5,,,
salt_equivalent,M,general,3,DG_UPPER,ABS,3.0,,,
salt_equivalent,M,general,4,DG_UPPER,ABS,3.5,,,
salt_equivalent,M,general,5,DG_UPPER,ABS,4.5,,,
salt_equivalent,M,general,6,DG_UPPER,ABS,5.0,,,
salt_equivalent,M,general,7,DG_UPPER,ABS,6.0,,,
salt_equivalent,M,general,8,DG_UPPER,ABS,7.0,,,
salt_equivalent,M,general,9,DG_UPPER,ABS,7.5,,,
sodium,M,general,10,EAR,ABS,600,,,
salt_equivalent,M,general,10,EAR,ABS,1.5,,,
salt_equivalent,M,general,10,DG_UPPER,ABS,7.5,,,
sodium,M,general,11,EAR,ABS,600,,,
salt_equivalent,M,general,11,EAR,ABS,1.5,,,
salt_equivalent,M,general,11,DG_UPPER,ABS,7.5,,,
sodium,M,general,12,EAR,ABS,600,,,
salt_equivalent,M,general,12,EAR,ABS,1.5,,,
salt_equivalent,M,general,12,DG_UPPER,ABS,7.5,,,
sodium,M,general,13,EAR,ABS,600,,,
salt_equivalent,M,general,13,EAR,ABS,1.5,,,
salt_equivalent,M,general,13,DG_UPPER,ABS,7.5,,,
sodium,M,general,14,EAR,ABS,600,,,
salt_equivalent,M,general,14,EAR,ABS,1.5,,,
salt_equivalent,M,general,14,DG_UPPER,ABS,7.5,,,
sodium,F,general,1,AI,ABS,100,,,
salt_equivalent,F,general,1,AI,ABS,0.3,,,
sodium,F,general,2,AI,ABS,600,,,
salt_equivalent,F,general,2,AI,ABS,1.5,,,
salt_equivalent,F,general,3,DG_UPPER,ABS,2.5,,,
salt_equivalent,F,general,4,DG_UPPER,ABS,3.5,,,
salt_equivalent,F,general,5,DG_UPPER,ABS,4.5,,,
salt_equivalent,F,general,6,DG_UPPER,ABS,5.0,,,
salt_equivalent,F,general,7,DG_UPPER,ABS,6.0,,,
salt_equivalent,F,general,8,DG_UPPER,ABS,6.5,,,
salt_equivalent,F,general,9,DG_UPPER,ABS,6.5,,,
sodium,F,general,10,EAR,ABS,600,,,
salt_equivalent,F,general,10,EAR,ABS,1.5,,,
salt_equivalent,F,general,10,DG_UPPER,ABS,6.5,,,
sodium,F,general,11,EAR,ABS,600,,,
salt_equivalent,F,general,11,EAR,ABS,1.5,,,
salt_equivalent,F,general,11,DG_UPPER,ABS,6.5,,,
sodium,F,general,12,EAR,ABS,600,,,
salt_equivalent,F,general,12,EAR,ABS,1.5,,,
salt_equivalent,F,general,12,DG_UPPER,ABS,6.5,,,
sodium,F,general,13,EAR,ABS,600,,,
