nutrient_id,sex_code,life_code,age_band_id,ref_code,calc_kind,factor,var,per_unit,offset
# --- 鉄 (iron) ---
iron,M,general,1,AI,ABS,0.5,,,
iron,M,general,2,AI,ABS,0.5,,,
iron,M,general,3,EAR,ABS,3.0,,,
iron,M,general,3,RDA,ABS,4.0,,,
iron,M,general,4,EAR,ABS,3.5,,,
iron,M,general,4,RDA,ABS,5.0,,,
iron,M,general,5,EAR,ABS,4.5,,,
iron,M,general,5,RDA,ABS,6.0,,,
iron,M,general,6,EAR,ABS,5.5,,,
iron,M,general,6,RDA,ABS,7.5,,,
iron,M,general,7,EAR,ABS,6.5,,,
iron,M,general,7,RDA,ABS,9.5,,,
iron,M,general,8,EAR,ABS,7.5,,,
iron,M,general,8,RDA,ABS,9.0,,,
iron,M,general,9,EAR,ABS,7.5,,,
iron,M,general,9,RDA,ABS,9.0,,,
iron,M,general,10,EAR,ABS,5.5,,,
iron,M,general,10,RDA,ABS,7.0,,,
iron,M,general,11,EAR,ABS,6.0,,,
iron,M,general,11,RDA,ABS,7.5,,,
iron,M,general,12,EAR,ABS,6.0,,,
iron,M,general,12,RDA,ABS,7.0,,,
iron,M,general,13,EAR,ABS,5.5,,,
iron,M,general,13,RDA,ABS,7.0,,,
iron,M,general,14,EAR,ABS,5.5,,,
iron,M,general,14,RDA,ABS,6.5,,,
iron,F,general,1,AI,ABS,0.5,,,
iron,F,general,2,AI,ABS,0.5,,,
iron,F,general,3,EAR,ABS,3.0,,,
iron,F,general,3,RDA,ABS,4.0,,,
iron,F,general,4,EAR,ABS,3.5,,,
iron,F,general,4,RDA,ABS,5.0,,,
iron,F,general,5,EAR,ABS,4.5,,,
iron,F,general,5,RDA,ABS,6.0,,,
iron,F,general,6,EAR,ABS,6.0,,,
iron,F,general,6,RDA,ABS,8.0,,,
iron,F,general,7,EAR,ABS,8.5,,,
iron,F,general,7,RDA,ABS,12.5,,,
iron,F,general,8,EAR,ABS,9.0,,,
iron,F,general,8,RDA,ABS,12.5,,,
iron,F,general,9,EAR,ABS,7.5,,,
iron,F,general,9,RDA,ABS,11.0,,,
iron,F,general,10,EAR,ABS,7.0,,,
iron,F,general,10,RDA,ABS,10.0,,,
iron,F,general,11,EAR,ABS,7.5,,,
iron,F,general,11,RDA,ABS,10.5,,,
iron,F,general,12,EAR,ABS,7.5,,,
iron,F,general,12,RDA,ABS,10.5,,,
iron,F,general,13,EAR,ABS,5.0,,,
iron,F,general,13,RDA,ABS,6.0,,,
iron,F,general,14,EAR,ABS,4.5,,,
iron,F,general,14,RDA,ABS,5.5,,,
iron,F,pregnant,10,EAR,ABS,12.0,,,
iron,F,pregnant,10,RDA,ABS,14.5,,,
iron,F,pregnant,11,EAR,ABS,12.0,,,
iron,F,pregnant,11,RDA,ABS,15.0,,,
iron,F,lactating,10,EAR,ABS,6.5,,,
iron,F,lactating,10,RDA,ABS,8.0,,,
iron,F,lactating,11,EAR,ABS,6.5,,,
iron,F,lactating,11,RDA,ABS,8.0,,,
# --- 亜鉛 (zinc) ---
zinc,M,general,1,AI,ABS,1.5,,,
zinc,M,general,2,AI,ABS,2.0,,,
zinc,M,general,3,EAR,ABS,2.5,,,
zinc,M,general,3,RDA,ABS,3.5,,,
zinc,M,general,4,EAR,ABS,3.0,,,
zinc,M,general,4,RDA,ABS,4.0,,,
zinc,M,general,5,EAR,ABS,3.5,,,
zinc,M,general,5,RDA,ABS,5.0,,,
zinc,M,general,6,EAR,ABS,4.0,,,
zinc,M,general,6,RDA,ABS,5.5,,,
zinc,M,general,7,EAR,ABS,5.5,,,
zinc,M,general,7,RDA,ABS,8.0,,,
zinc,M,general,8,EAR,ABS,7.0,,,
zinc,M,general,8,RDA,ABS,8.5,,,
zinc,M,general,9,EAR,ABS,8.5,,,
zinc,M,general,9,RDA,ABS,10.0,,,
zinc,M,general,10,EAR,ABS,7.5,,,
zinc,M,general,10,RDA,ABS,9.0,,,
zinc,M,general,10,UL,ABS,40,,,
zinc,M,general,11,EAR,ABS,8.0,,,
zinc,M,general,11,RDA,ABS,9.5,,,
zinc,M,general,11,UL,ABS,45,,,
zinc,M,general,12,EAR,ABS,8.0,,,
zinc,M,general,12,RDA,ABS,9.5,,,
zinc,M,general,12,UL,ABS,45,,,
zinc,M,general,13,EAR,ABS,7.5,,,
zinc,M,general,13,RDA,ABS,9.0,,,
zinc,M,general,13,UL,ABS,45,,,
zinc,M,general,14,EAR,ABS,7.5,,,
zinc,M,general,14,RDA,ABS,9.0,,,
zinc,M,general,14,UL,ABS,40,,,
zinc,F,general,1,AI,ABS,1.5,,,
zinc,F,general,2,AI,ABS,2.0,,,
zinc,F,general,3,EAR,ABS,2.0,,,
zinc,F,general,3,RDA,ABS,3.0,,,
zinc,F,general,4,EAR,ABS,2.5,,,
zinc,F,general,4,RDA,ABS,3.5,,,
zinc,F,general,5,EAR,ABS,3.0,,,
zinc,F,general,5,RDA,ABS,4.5,,,
zinc,F,general,6,EAR,ABS,4.0,,,
zinc,F,general,6,RDA,ABS,5.5,,,
zinc,F,general,7,EAR,ABS,5.5,,,
